Iteration,Is Throttling Enabled,Is Locker Enabled,largest-contentful-paint,interactive,first-meaningful-paint
1,false,false,240.825,399.48,422.221
2,false,false,216.004,371.767,392.717
3,false,false,221.351,377.429,398.318
4,false,false,223.665,379.453,401.922
5,false,false,216.912,368.227,389.075
6,false,false,217.184,373.2859999961853,393.727
7,false,false,220.281,375.973,397.304
8,false,false,216.409,374.96,396.845
9,false,false,242.74,400.413,422.643
10,false,false,224.206,375.615,401.015
11,false,false,219.618,373.397,394.748
12,false,false,214.901,367.6669999961853,389.429
13,false,false,220.447,373.59,395.989
14,false,false,214.286,367.342,389.84
15,false,false,215.879,372.554,393.662
16,false,false,215.597,367.383,390.29
17,false,false,217.349,372.9880000038147,393.997
18,false,false,216.478,372.3280000038147,393.438
19,false,false,215.188,368.429,390.558
20,false,false,213.647,366.982,389.004
1,false,true,317.692,594.874,623.314
2,false,true,313.313,590.488,614.261
3,false,true,317.306,594.454,619.423
4,false,true,318.199,594.326,618.218
5,false,true,317.401,595.971,620.993
6,false,true,318.306,593.0229999961853,617.852
7,false,true,317.723,594.237,617.975
8,false,true,317.636,593.8429999961853,617.661
9,false,true,317.406,597.984,622.203
10,false,true,324.116,608.555,632.059
11,false,true,314.388,590.0170000038147,623.234
12,false,true,318.545,593.3709999961853,617.175
13,false,true,317.251,593.605,617.247
14,false,true,315.979,591.412,615.962
15,false,true,319.112,602.689,626.91
16,false,true,317.2,597.059,620.682
17,false,true,315.848,594.241,618.636
18,false,true,320.856,595.8599999961853,619.284
19,false,true,316.658,593.549,617.46
20,false,true,321.133,601.6420000038147,625.417
1,true,false,959.53005,1374.5300499999998,812.53005
2,true,false,954.9045,1372.9045,809.9045
3,true,false,954.342188433838,1330.4803000000002,810.9803
4,true,false,955.0049,1373.0049,811.0049
5,true,false,952.5414634338379,1383.1131500000001,817.11315
6,true,false,952.2699634338379,1369.93215,810.93215
7,true,false,953.4327884338379,1329.5407,809.5407
8,true,false,952.5851134338379,1361.1422499999999,806.14225
9,true,false,978.0379,1353.5379,836.0379
10,true,false,955.68725,1418.68725,810.68725
11,true,false,956.5117,1384.0117,815.5117
12,true,false,953.3907134338378,1368.5126500000001,811.01265
13,true,false,959.4304499999998,1334.4304499999998,810.93045
14,true,false,959.0497,1387.0497,817.0497
15,true,false,957.9306000000001,1348.9306,815.9306
16,true,false,954.8936384338379,1374.0146,815.0146
17,true,false,972.20455,1444.7045500000002,820.20455
18,true,false,957.64905,1424.14905,813.14905
19,true,false,1152.2526,2080.2526000000003,923.2526
20,true,false,957.09865,1336.09865,814.59865
1,true,true,1572.4831999999997,2090.7416000000003,1206.4832
2,true,true,1571.5036999999998,2142.75185,1237.5037
3,true,true,1585.5375,2096.2687499999997,1204.5375
4,true,true,1574.5555999999997,2086.2778,1209.5556
5,true,true,1560.7731000000003,2073.88655,1202.7731
6,true,true,1588.5219,2107.26095,1208.0219
7,true,true,1562.5328,2066.2664,1202.0328
8,true,true,1576.0014,2087.0007000000005,1201.5014
9,true,true,1565.7511999999997,2076.8756000000003,1202.2512
10,true,true,1563.8731,2067.43655,1200.3731
11,true,true,1578.8076999999998,2080.9038499999997,1198.8077
12,true,true,1569.4308,2079.7154,1205.9308
13,true,true,1585.38,2093.6900000000005,1202.38
14,true,true,1581.6628999999998,2110.33145,1210.1629
15,true,true,1581.5283,2097.76415,1208.0283
16,true,true,1577.3701,2096.68505,1208.8701
17,true,true,1563.7853,2068.39265,1200.2853
18,true,true,1581.6057,2096.30285,1205.1057
19,true,true,1582.5854,2105.2927,1208.5854
20,true,true,1564.5501999999997,2065.2751,1197.5502
