Is Locker Enabled,Iteration,largest-contentful-paint,interactive,first-meaningful-paint,lwc-rehydrate,evaluateInSandbox
false,1,204.672,307.901,328.408,84.92500000000001,0
false,2,191.855,283.1010000305176,305.982,82.18,0
false,3,191.747,287.0609999694824,309.178,85.53500000000001,0
false,4,191.583,290.141,315.035,83.355,0
false,5,191.816,284.803,306.705,83.43,0
false,6,173.727,268.447,292.032,78.76499999999999,0
false,7,175.595,265.187,288.59,78.46000000000001,0
false,8,172.516,267.544,290.604,78.995,0
false,9,175.006,272.442,294.728,81.276,0
false,10,193.628,289.753,311.093,81.66000000000001,0
false,11,193.909,285.968,308.959,81.36999999999999,0
false,12,187.032,281.741,304.485,83.51,0
false,13,195.409,288.426,311.692,83.59,0
false,14,192.456,286.685,308.519,84.405,0
false,15,182.316,279.608,301.355,81.295,0
false,16,192.124,285.203,307.042,83.03500000000001,0
false,17,188.284,280.548,303.209,82.453,0
false,18,172.569,269.309,290.432,80.14899999999999,0
false,19,172.347,261.878,285.424,78.965,0
false,20,193.688,285.8529999694824,309.047,83.056,0
true,1,272.814,474.63600003051755,498.567,171.81499999999997,59.861
true,2,310.259,510.564,535.175,174.80499999999998,67.82499999999999
true,3,272.485,469.4639999694824,492.588,167.89499999999998,58.705
true,4,276.197,477.579,501.312,174.61499999999995,62.39000000000001
true,5,272.593,469.977,495.37,171.925,60.665000000000006
true,6,297.566,493.41699996948245,516.957,166.10999999999999,60.695
true,7,273.396,469.166,493.273,170.29500000000002,60
true,8,273.232,471.03,493.978,172.284,59.69500000000001
true,9,273.217,467.751,491.956,168.928,59.923
true,10,272.167,468.016,492.828,166.504,59.73
true,11,273.309,470.923,500.208,168.525,60.30499999999999
true,12,276.303,476.12599996948245,500.318,173.299,59.842
true,13,275.951,469.984,494.174,169.231,60.163
true,14,278.066,475.574,499.201,172.10800000000003,61.322
true,15,288.833,515.396,538.849,195.185,59.620000000000005
true,16,272.685,469.95,493.578,170.90900000000002,59.379000000000005
true,17,274.684,479.465,511.657,179.51500000000001,60.3
true,18,356.883,594.327,619.813,211.466,82.613
true,19,272.572,471.007,495.456,172.037,61.36
true,20,274.915,474.06,498.69,172.705,61.900000000000006
